hour,action,delta,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,q1_eval,q2_eval,cumulative_revenue,cumulative_degradation,cumulative_profit,time_to_peak_hour_raw,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,time_to_peak_hour,season_name,eval_date
0,1.3965140621598898e-14,-1.3965140621598898e-14,0.5000000000000058,0.5,5.773159728050814e-15,0.0,-2.0947710932398347e-14,0.0,0.0,-2.0947710932398347e-14,1.4000000000000001,84.48000000000002,0.1218438238360433,0.0,-1.7696626195690129e-12,0.17058135337046063,9.164623532924275e-15,0.000852906766843409,21.390501022338867,22.317611694335938,0.17058135336869096,9.164623532924275e-15,0.1705813533686818,7.0,0.0,1.9999999701976776,0.0,84.47999831780791,0.12184352189449091,0.0,0.5,0.0,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,6.999999895691872,winter,2025-01-08
1,1.3521816045330981e-12,-1.3521816045330981e-12,0.5000000000005679,0.5000000000000058,5.678790770957676e-13,0.0,-2.028272406799647e-12,0.0,0.0,-2.028272406799647e-12,1.4000000000000203,75.07,0.24851314564578963,0.0,-1.522624095784495e-10,0.34791840390411055,8.873691779748455e-13,0.001739592018754804,13.44841194152832,12.601727485656738,0.5184997571205391,8.965338015077698e-13,0.5184997571196426,6.0,0.9999997615814209,1.9999999701976776,0.0,75.06999712184071,0.24851351158812082,0.0,0.5000000000000058,0.0,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,5.999999955296516,winter,2025-01-08
2,0.000953689799644053,-0.000953689799644053,0.5003964624744199,0.5000000000005679,0.0003964624744199341,0.0,-0.0014305346994660795,0.0,0.0,-0.0014305346994660795,1.4000000000019877,72.94,0.25333864361949454,0.0,-0.10434320097905583,0.3546741010677959,0.0006258589310164097,0.0012485252057886182,-1.3181397914886475,-1.4644426107406616,0.7688306572092792,0.0006258589319129435,0.7682047982773663,5.0,2.0000002086162567,1.9999999701976776,0.0,72.93999967619777,0.2533389675491468,0.0,0.5000000000005679,0.0,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,4.999999701976776,winter,2025-01-08
3,0.04045449569821358,-0.04045449569821358,0.5172139742575345,0.5003964624744199,0.01721397425753446,0.0,-0.060681743547320366,0.0,0.0,-0.060681743547320366,1.40138761866047,69.99000000000001,0.24127489868523225,0.0,-4.247115230876953,0.33811965571104374,0.026548262801952657,-0.01967771918983931,-2.8701422214508057,-1.8032392263412476,-3.14016491795663,0.0271741217338656,-3.167339039690496,4.0,2.9999999701976776,1.9999999701976776,0.0,69.9899972435832,0.24127482172752535,0.0,0.5003964624744199,0.00039646029472351074,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,3.999999761581421,winter,2025-01-08
4,0.3994804322719574,-0.3994804322719574,0.6832836968163053,0.5172139742575345,0.1832836968163053,0.0,-0.5992206484079361,0.0,0.0,-0.5992206484079361,1.4602489099013707,83.14,0.24127489868523225,0.0,-49.81920470863581,0.35232140779167403,1.31079516839236,-0.2538883923461825,-1.0532493591308594,0.1825871616601944,-52.60704821880076,1.3379692901262257,-53.94501750892699,3.0,3.9999997317790985,1.9999999701976776,0.0,83.14000310495496,0.24127482172752535,0.0,0.5172139742575345,0.01721397042274475,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,2.9999998211860657,winter,2025-01-08
5,0.936198353767395,-0.936198353767395,0.8934985109044892,0.6832836968163053,0.3934985109044892,0.0,-0.7585070611429315,0.0,0.0,-0.7585070611429315,1.5,110.43,0.27505338450116473,0.0,-83.76193476201394,0.4125800767517471,6.63693678500065,-0.44993145735131423,4.483631610870361,3.099141836166382,-135.95640290406294,7.974906075126875,-143.93130897918982,2.0,5.000000178813934,1.9999999701976776,0.0,110.42999707952143,0.27505301345470723,0.0,0.6832836968163053,0.18328368663787842,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,1.9999998807907104,winter,2025-01-08
6,1.0,1.0,0.4516722958823979,0.8934985109044892,0.4418262150220913,0.0,1.5,0.0,0.0,1.5,0.0,132.36,0.39689720833720804,0.0,198.54000000000002,0.0,16.406249999999996,0.9106687500000001,19.940937042236328,18.031496047973633,62.58359709593707,24.38115607512687,38.2024410208102,0.0,5.999999940395355,1.9999999701976776,0.0,132.3600006171316,0.3968975471873112,0.0,0.8934985109044892,0.3934985101222992,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,0.0,winter,2025-01-08
7,1.0,1.0,0.1,0.4516722958823979,0.7934985109044892,0.0,1.2308530355883927,0.0,0.0,1.2308530355883927,0.26914696441160735,158.96,1.278756963031735,0.0,195.6563985371309,0.34417355482019746,26.924910153496086,0.8453783096922751,28.864185333251953,27.89803695678711,258.5841691878882,51.30606622862295,207.27810295926525,0.0,7.000000044703484,1.9999999701976776,0.0,158.95999994192275,1.2787569598911295,0.0,0.4516722958823979,0.4418262168765068,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,0.0,winter,2025-01-08
8,1.0,1.0,0.1,0.1,0.7934985109044892,0.0,0.0,1.1625090660291302,1.1625090660291302,0.0,0.0,152.95,3.847128259536039,177.80576164915544,0.0,0.0,0.0,0.8890288082457772,32.76728057861328,30.770490646362305,436.38993083704366,51.30606622862295,385.0838646084207,0.0,8.000000149011612,1.9999999701976776,0.0,152.94999935634436,3.847127902626169,1.162509173154831,0.1,0.7934985160827637,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,0.0,winter,2025-01-08
9,0.8417667746543884,-0.8417667746543884,0.44993447346346715,0.1,0.7934985109044892,0.0,-1.2626501619815826,3.933706598794178,2.6710564368125955,-0.0,0.0,124.37,4.971469287409224,332.1992890463825,-0.0,0.0,27.620472293347117,1.5228940837651768,33.31874084472656,30.473630905151367,768.589219883426,78.92653852197007,689.662681361456,8.0,9.000000081956387,1.9999999701976776,0.0,124.3699987833202,4.971469259926353,3.933706507086754,0.1,0.7934985160827637,158.96000035703182,155.9200036406517,7.0000001192092896,16.999999940395355,69.98999930888414,3.0000000596046448,0.12184381789137742,4.97146951909499,7.999999992549419,winter,2025-01-08
