hour,action,delta,is_discharge_slot,soc,soc_before,dod_morning,dod_evening,p_battery,p_pv_raw,p_pv_grid,p_bess_em,p_reserve,price_em,price_as,revenue_pv,revenue_energy,revenue_reserve,degradation_cost,reward,cumulative_revenue,cumulative_degradation,cumulative_profit,k,weekday,season,price_em_raw,price_as_raw,p_res_total_raw,soc_raw,dod_raw,price_em_max_morning,price_em_max_evening,k_em_max_morning,k_em_max_evening,price_em_min,k_em_min,price_as_min,price_as_max,max_future_price_delta,avg_future_price_delta,peak_hour_price_delta,time_to_peak_hour
0,-1.0,-1.0,False,0.8233333333333333,0.8233333333333333,0.32333333333333325,0.0,-20.0,0.5215498606617941,0.0,-19.478450139338207,20.0,83.14999999999999,1.1644882379556112,0.0,-1619.6331290859719,23.289764759112224,350.0,-1946.3433643268597,-1596.3433643268597,350.0,-1946.3433643268597,0.0,0.0,0.0,83.14999998835846,1.1644884185864801,0.5215495824813843,0.8233333333333333,0.0,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,47.45000132977961,19.64086975255981,47.44999998807907,14.000000104308128
1,-1.0,-1.0,False,0.8977,0.8977,0.39770000000000005,0.0,-4.600000000000007,0.0,0.0,-4.600000000000007,20.0,82.73,1.056661682411641,0.0,-380.55800000000056,21.13323364823282,80.50000000000011,-439.92476635176786,-1955.7681306786276,430.5000000000001,-2386.2681306786276,0.9999997615814209,0.0,0.0,82.73000000234693,1.0566615436229732,0.0,0.8977,0.32333333790302277,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,47.869999204874034,20.97272686067967,47.87000053167343,13.562499895691872
2,-1.0,-1.0,False,0.899931,0.899931,0.39993100000000004,0.0,-0.13799999999999812,0.6800729650057269,0.5420729650057288,-0.0,19.45792703499427,77.46999999999998,1.3101646303141927,41.9943925989938,-0.0,25.493087780483805,2.414999999999967,65.07248037947764,-1888.28065029915,432.9150000000001,-2321.19565029915,2.0000002086162567,0.0,0.0,77.47000010788439,1.3101647620472403,0.6800729036331177,0.899931,0.3976999968290329,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,53.12999953210351,27.481904630586484,53.1299984049797,13.125
3,-1.0,-1.0,False,0.8999979300000001,0.8999979300000001,0.39999793000000006,0.0,-0.004139999999999144,1.5991813492284268,1.5950413492284277,-0.0,18.404958650771572,75.21999999999998,1.453175043889333,119.9790102889623,-0.0,26.745626595116338,0.07244999999998503,146.65218688407867,-1741.5560134150712,432.9874500000001,-2174.5434634150715,2.9999999701976776,0.0,0.0,75.2200001773238,1.4531750926391265,1.5991812944412231,0.8999979300000001,0.39993099868297577,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,55.380001300573326,31.218500217832627,55.3800002002716,12.687499947845936
4,-1.0,-1.0,False,0.8999999379,0.8999999379,0.3999999379,0.0,-0.00012419999999790932,0.0,0.0,-0.00012419999999790932,20.0,78.69000000000001,1.3314249365946393,0.0,-0.009773297999835485,26.628498731892787,0.002173499999963413,26.61655193389299,-1714.9372879811783,432.98962350000005,-2147.926911481178,3.9999997317790985,0.0,0.0,78.69000001959502,1.3314249732269823,0.0,0.8999999379,0.39999792724847794,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,51.90999871551989,29.208947499860074,51.91000017642975,12.250000052154064
5,-1.0,-1.0,False,0.899999998137,0.899999998137,0.39999999813700005,0.0,-3.7260000018690675e-06,0.0,0.0,-3.7260000018690675e-06,20.0,82.09999999999998,1.5906967521436028,0.0,-0.0003059046001534504,31.813935042872057,6.520500003270868e-05,31.81356393327187,-1683.1236588429063,432.9896887050001,-2116.1133475479064,5.000000178813934,0.0,0.0,82.09999999927238,1.590696664489913,0.0,0.899999998137,0.3999999389052391,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,48.50000002026556,27.232222611792366,48.50000134706497,11.8125
6,-1.0,-1.0,False,0.8999999999441101,0.8999999999441101,0.39999999994411006,0.0,-1.1177999859057763e-07,1.658173456282761,1.6581733445027624,-0.0,18.341826655497236,94.3,1.9500643327920735,156.36574638661048,-0.0,35.76774195914009,1.9561499753351086e-06,192.1334863896006,-1490.9901704971558,432.98969066115006,-1923.9798611583058,5.999999940395355,0.0,0.0,94.300000179708,1.9500644917119758,1.6581732034683228,0.8999999999441101,0.3999999985098839,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,36.30000252842902,15.916470671528941,36.30000342607498,11.375000026077032
7,-1.0,-1.0,False,0.8999999999983234,0.8999999999983234,0.39999999999832336,0.0,-3.353397559635596e-09,2.437657425313785,2.4376574219603873,-0.0,17.562342578039612,111.39999999999999,2.126502353117476,271.55503680638714,-0.0,37.34636281845648,5.868445729362293e-08,308.90139956615917,-1182.0887708723121,432.9896907198345,-1615.0784615921466,7.000000044703484,0.0,0.0,111.40000039100646,2.1265024027511403,2.4376577138900757,0.8999999999983234,0.3999999985098839,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,19.199998694658262,-1.2575001440569906,19.199999163150785,10.937500013038516
8,-1.0,-1.0,False,0.8999999999999497,0.8999999999999497,0.39999999999994973,0.0,-1.0059952870733468e-10,4.12262341273602,4.122623412635421,-0.0,15.87737658736458,121.11,2.3566789082459483,499.29092150427584,-0.0,37.41787852172014,1.760491752378357e-09,536.7088000242355,-645.379970846316,432.989690721595,-1078.369661567911,8.000000149011612,0.0,0.0,121.10999883770943,2.3566787844787136,4.1226232051849365,0.8999999999999497,0.3999999985098839,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,9.489999850988369,-11.698666590526699,9.489999997615813,10.5
9,-1.0,-1.0,False,0.8999999999999985,0.8999999999999985,0.39999999999999847,0.0,-3.0175861809311755e-12,9.049034363523349,9.049034363520331,-0.0,10.950965636479669,117.83,2.4346604782348846,1066.2477190536006,-0.0,26.66188323364538,5.280775816629557e-11,1092.9096022871931,447.5296314409299,432.98969072164783,14.539940719282072,9.000000081956387,0.0,0.0,117.83000042796134,2.4346604367992475,9.049034342169762,0.8999999999999985,0.3999999985098839,121.11000052332878,130.59999945759773,8.000000074505806,16.999999940395355,75.21999812185767,2.9999999403953552,1.0566616835977318,12.677661464507285,12.770002571344364,-9.01999927606434,12.769997541904448,14.000000104308128
